# name          X(m)             Y(m)           Z(m)          VX(m/y)      VY(m/y)       VZ(m/y)    epoch      flag
GIFU11     -3787123.6192    3564181.7473    3680274.8568     -0.01827      0.00408     -0.01286     57023    ITRF2020
TOMAKO11   -3680586.3051    2917515.7437    4300987.6277      0.00000      0.00000      0.00000     57023    ITRF2020
ISHIOKA    -3959636.0741    3296825.4852    3747042.6289     -0.02123     -0.00360     -0.00882     57023    ITRF2020
SEJONG     -3110080.0615    4082066.6519    3775076.7879     -0.02836     -0.01166     -0.00805     57023    ITRF2020
HARTRAO     5085442.7626    2668263.8314   -2768696.7151     -0.00102      0.01947      0.01630     57023    ITRF2020
HART15M     5085490.7984    2668161.5286   -2768692.5860     -0.00102      0.01947      0.01630     57023    ITRF2020
RAEGSMAR    4618524.2969   -2166020.7822    3816270.3315     -0.00093      0.01716      0.00386     57023    ITRF2020
CTVASTJ     2612545.3778   -3426878.7840    4686756.2391     -0.01786     -0.00103      0.00835     57023    ITRF2020
ALGOPARK     918034.4565   -4346132.3337    4561971.2334     -0.01604     -0.00366      0.00386     57023    ITRF2020
PENTICTN   -2058840.7729   -3621286.4591    4814420.6218     -0.01525     -0.00048     -0.00653     57023    ITRF2020
WHTHORSE   -2215212.7722   -2209260.1963    5540289.8444      0.03041      0.05393     -0.10131     57023    ITRF2020
YLOW7296   -1224399.9450   -2689273.3428    5633620.2780     -0.02094     -0.00451      0.00031     57023    ITRF2020
VICTORIA   -2341310.3223   -3539083.8682    4745768.2108     -0.01063     -0.00011     -0.00495     57023    ITRF2020
JPL_MV1    -2493307.2080   -4655197.8494    3565520.1399     -0.04737     -0.00817      0.02919     57023    ITRF2020
PVERDES    -2525453.5283   -4670034.9131    3522887.1648     -0.02985      0.02885      0.01476     57023    ITRF2020
PBLOSSOM   -2464071.4825   -4649425.2358    3593905.9629     -0.02366      0.01498      0.00971     57023    ITRF2020
MOJAVE12   -2356171.3486   -4646755.7465    3668470.5518     -0.01545      0.00576     -0.00185     57023    ITRF2020
GOLDVENU   -2351129.4178   -4655476.8229    3660956.7613     -0.01337      0.01011     -0.00593     57023    ITRF2020
DSS15      -2353539.1299   -4641649.3700    3676669.9271     -0.01539      0.00637     -0.00281     57023    ITRF2020
DSS13      -2351112.8515   -4655530.5494    3660912.6848     -0.01431      0.00890     -0.00698     57023    ITRF2020
PRESIDIO   -2707705.3543   -4257608.9967    3888374.4516     -0.02138      0.02172      0.01154     57023    ITRF2020
PINFLATS   -2369636.5342   -4761324.5749    3511116.3761     -0.02486      0.01260      0.00888     57023    ITRF2020
GILCREEK   -2281547.7238   -1453645.1901    5756993.0102     -0.02151     -0.00337     -0.00780     57023    ITRF2020
PT_REYES   -2732333.6308   -4217634.0871    3914491.5423     -0.02219      0.03040      0.01847     57023    ITRF2020
AUSTINTX    -737793.7290   -5459892.2823    3202990.5039      0.00000     -0.00000     -0.00000     57023    ITRF2020
YAKATAGA   -2529744.8357   -1942090.8288    5505028.7771     -0.02392      0.01635      0.03420     57023    ITRF2020
KODIAK     -3026940.7562   -1575911.8616    5370362.7945     -0.02416     -0.00258      0.01212     57023    ITRF2020
VNDNBERG   -2678095.5359   -4525450.0793    3597410.8185     -0.03214      0.02809      0.02519     57023    ITRF2020
NOME       -2658150.9678    -693822.0322    5737236.3603     -0.02117     -0.00412     -0.01116     57023    ITRF2020
SNDPOINT   -3425461.7057   -1214668.8302    5223857.1783      0.00669      0.01210     -0.04195     57023    ITRF2020
KAUAI      -5543846.2178   -2054562.5063    2387814.6839     -0.00907      0.06314      0.03198     57023    ITRF2020
KOKEE      -5543837.7871   -2054566.7241    2387852.5176     -0.00907      0.06314      0.03198     57023    ITRF2020
KOKEE12M   -5543831.7112   -2054585.9426    2387828.7949     -0.00907      0.06314      0.03198     57023    ITRF2020
SOURDOGH   -2419994.0826   -1664228.3513    5643537.4175     -0.02467      0.01596     -0.03336     57023    ITRF2020
