WHTHORSE   NOAM
WIDE85 3   NOAM
YAKATAGA   NOAM
YARRA12M   AUST
YEBES      EURA
YEBES40M   EURA
RAEGYEB    EURA
RAEGSMAR   EURA
YEBESDBC   EURA
YEBDBBC    EURA
YEBEDBBC   EURA
YEBES14    EURA
YELLOWKN   NOAM
YLOW7296   NOAM
YUMA       NOAM
ZELENCHK   EURA
CAS1       NOAM
YAR1       NOAM
PERT       NOAM
TAIW       NOAM
USUD       NOAM
TSKB       NOAM
GUAM       NOAM
TIDB       NOAM
KOKB       NOAM
PAMA       NOAM
FAIR       NOAM
DRAO       NOAM
GOLD       NOAM
YELL       NOAM
PIE1       NOAM
RCM5       NOAM
ALGO       NOAM
WES2       NOAM
AREQ       NOAM
KOUR       NOAM
STJO       NOAM
FORT       NOAM
MAS1       NOAM
MADR       NOAM
VILL       NOAM
KOSG       NOAM
NYAL       NOAM
ONSA       NOAM
TROM       NOAM
KIRU       NOAM
METS       NOAM
HART       NOAM
KIT3       NOAM
KERG       NOAM
DAV1       NOAM
ZWEN       NOAM
BOGT       NOAM
MCM4       NOAM
MAC1       NOAM
BOR1       NOAM
ALBH       NOAM
MDO1       NOAM
BRMU       NOAM
IRKT       NOAM
MALI       NOAM
AUCK       NOAM
POL2       NOAM
OHIG       NOAM
REYK       NOAM
CHAT       NOAM
THU1       NOAM
WTZR       NOAM
KELY       NOAM
CAS1 A     NOAM
YAR1 A     NOAM
PERT A     NOAM
TAIW A     NOAM
USUD A     NOAM
GUAM A     NOAM
TIDB A     NOAM
PAMA A     NOAM
RCM5 A     NOAM
AREQ A     NOAM
KOUR A     NOAM
STJO A     NOAM
MAS1 A     NOAM
VILL A     NOAM
KOSG A     NOAM
NYAL A     NOAM
KIRU A     NOAM
KIT3 A     NOAM
KERG A     NOAM
DAV1 A     NOAM
ZWEN A     NOAM
BOGT A     NOAM
MCM4 A     NOAM
MAC1 A     NOAM
BOR1 A     NOAM
BRMU A     NOAM
IRKT A     NOAM
MALI A     NOAM
AUCK A     NOAM
POL2 A     NOAM
OHIG A     NOAM
REYK A     NOAM
CHAT A     NOAM
THU1 A     NOAM
KELY A     NOAM
CONCTIGO   SOAM
GBT-VLBA   NOAM
L280B-02   EURA
L290B-48   EURA
L044B005   EURA
L344B016   EURA
L105B060   EURA
L106B-70   EURA
L076B013   EURA
L110B-01   EURA
KATHERIN   AUST
AUS NEW    AUST
WARKWRTH   AUST
V2 YAR1    AUST
V2 YKRO    AUST
V2 BAHR    AUST
V2 CAS1    AUST
V2 CHAT    AUST
V2 DGAR    AUST
V2 GOUG    AUST
V2 KERG    AUST
V2 MALI    AUST
V2 PAMA    AUST
V2 RIOP    AUST
V2 YAKT    AUST
BAN2       AUST
KWJ1       AUST
Goldston   AUST
4254       AUST
7331       AUST
8834       AUST
7501       AUST
7831       AUST
1873       AUST
5150       AUST
4226       AUST
5145       AUST
5130       AUST
7356       AUST
4883       AUST
7090       AUST
4884       AUST
9999       AUST
7335       AUST
7242       AUST
7092       AUST
5351       AUST
7210       AUST
7124       AUST
7225       AUST
7110       AUST
7285       AUST
7097       AUST
5244       AUST
7405       AUST
7091       AUST
5228       AUST
7929       AUST
5146       AUST
7635       AUST
HALY       AUST
YARRAGAD   AUST
KERG       AUST
QAQ1       AUST
RIOP       AUST
PALAU      AUST
ISPA       AUST
NewDelhi   AUST
SASK       AUST
DGAR       AUST
LPGS       AUST
MSKU       AUST
TIGO       AUST
MONP12M    AUST
AZOR12M    AUST
SANYA12M   AUST
CNRY12M    AUST
BRAZ12M    AUST
YEBES12M   AUST
TAHI12M    AUST
COLMB12M   AUST
ARGENTIN   AUST
TENERIFE   AUST
CALIFORN   AUST
KALIGRAD   AUST
CHANGCHU   AUST
FLORES     AUST
ALASKA     AUST
SANTMARI   AUST
COLUMBIA   AUST
BRAZIL     AUST
TIGOLPLT   AUST
MCDN12M    NOAM
MALVLBI    AFRC
TORVLBI    AFRC
NUUVLBI    AFRC
KMTVLBI    AFRC
TROVLBI    AFRC
DGOVLBI    AFRC
YLKVLBI    AFRC
KWJVLBI    AFRC
STJOHN12   NOAM
CALGAR12   NOAM
