%name       obsNum      type     dRa(mas)     dDe(mas)
2303-052         8      none       0.0362      -0.3992
2318-087         6      none      -0.0329      -0.0909
2320-021         6      none      -0.0738      -0.3627
2330-017         6      none       0.1104      -0.2473
2332-017         6      none      -0.0220      -0.2754
2351-006         7      none       0.0675      -0.2636
2354-021         7      none       0.0641      -0.1601
2354-117        18      none       0.0068       0.6117
 NGC6454        28      none       0.0065       0.0527
     M84        34    define       0.0177      -0.1733
 NGC1218        55    define      -0.0156      -0.1116
2358-161         6      none       0.0497      -0.3793
0000-197         6      none      -0.0448      -0.1933
0002-170         5      none      -0.0003       0.0944
0005-239         8      none       0.0521      -0.0614
0005-262         6      none      -0.0092       0.2223
0008-222         5      none      -0.0971      -0.1350
0012-184         5      none       0.0707      -0.0482
0035-252       245    define       0.0381      -0.0457
0102-245         5      none       0.0233      -0.0860
0115-214       491      none      -0.0256      -0.0253
0116-219       115      none      -0.0075      -0.0677
0130-171        43      none      -0.0251      -0.0254
0133-204         5      none       0.0250      -0.1107
0136-231         5      none       0.0603      -0.0059
0148-177         5      none      -0.0535      -0.1905
0150-144        19      none       0.0263       0.0878
0156-144         5      none       0.4988       0.3053
0204-224         5      none       0.0071       0.0235
0215-167         5      none       0.0822      -0.0220
0217-189         5      none      -0.0241      -0.0972
0218-220         7      none       0.0381       0.0775
0219-164         5      none       0.1800      -0.4618
0237-233        32      none       0.3059       0.3904
0240-217         5      none       0.0075      -0.2637
0245-167         5      none      -0.0302       0.0592
0250-225         5      none      -0.0075       0.1830
0253-218         5      none       0.0845       0.1051
0313-171         5      none       0.2086      -0.1623
0323-244         5      none      -0.0259      -0.1005
0325-222         5      none       0.0091      -0.0668
0327-241         7      none       0.0033      -0.0109
0341-256         6      none       0.0419       0.1234
0346-163         5      none      -0.0689       0.1183
0347-211       231    define       0.0058      -0.0663
0357-263         7      none      -0.0301       0.1570
0403-179         7      none       0.0273      -0.0023
0407-170         5      none      -0.6451       1.1090
0413-210         7      none       0.0071       0.0412
0418-151         5      none      -0.0260      -0.1761
0423-163         5      none      -1.6544      -1.7294
0432-148         5      none       0.0157      -0.1755
0436-203         6      none      -0.1186       0.0116
0448-187         5      none      -0.0577      -0.2134
0511-220        16      none      -0.0768      -0.1183
0514-161         9      none       0.1182      -0.0025
0521-262         8      none      -1.3838       1.5402
0601-172        27      none       0.2186      -0.0726
0606-223       512      none      -0.0089      -0.0529
0618-252         6      none      -0.0974      -0.0294
0627-199       321    define      -0.0189      -0.0548
0804-267        25    define       0.0001       0.0179
0810-180         5      none      -0.0359      -0.2309
0812-252         6      none       0.1702       0.4217
0823-223        77      none      -0.0169      -0.0069
0834-201       901    define      -0.0076      -0.0138
0834-223         7      none       0.0515      -0.2089
0843-259         7      none       0.5848      -0.2456
0855-196         5      none      -0.1160      -0.0712
0902-256         6      none       0.1592      -0.4573
0915-213         5      none       0.2559      -0.2811
0921-213         5      none       0.0334       0.0390
1004-217        46    define      -0.0526       0.0101
1027-186       127    define      -0.0410      -0.1161
1029-222         6      none       0.2774      -0.0139
1036-154         5      none       0.0474      -0.1006
1054-234         6      none       0.2225      -0.6270
1055-248         6      none      -0.0001       0.0652
1102-242         6      none      -0.2417       0.4494
1107-187         6      none      -0.0970       0.0964
1110-217         6      none       0.7868       0.1678
1117-248        10      none       4.3587      -3.0043
1118-140         5      none      -0.0403      -0.3968
1119-252         5      none       0.0782       0.3593
1127-145        27      none      -0.0909       0.0138
1136-156         7      none       0.1021      -0.1452
1142-225        14      none       0.2009       0.2794
1148-171         5      none      -0.3617       0.0252
1156-221         6      none      -0.1724      -0.1275
1157-215         5      none       0.1557       0.0085
1202-262         5      none       0.2014      -0.0509
1206-238        11      none       0.0294      -0.0414
1206-202        10      none       0.0993       0.4144
1209-191         6      none       0.4590       0.7438
1209-220         6      none       0.0747      -0.0252
1243-160       372    define      -0.0222      -0.0112
1245-235         6      none      -0.0739      -0.1217
1255-177       127      none       0.0307      -0.0630
1256-220        28      none      -0.0015       0.0079
1256-229         5      none      -0.0075      -0.1328
1256-243         6      none      -0.0890       0.2185
1303-170         5      none      -0.0404       0.3244
1318-263        14      none      -0.0470      -0.0590
1331-195         6      none       0.0534      -0.0203
1336-237        12      none      -0.0568      -0.2000
1336-260        11      none      -0.0175       0.1967
1339-206         5      none      -0.0102       0.0429
1340-175         6      none       0.1226      -0.0874
1347-218         5      none      -0.1461      -0.2112
1349-145         9      none       0.0718      -0.2497
1404-267         6      none      -0.0272      -0.1655
1406-230         6      none      -0.1081      -0.5619
1406-267       258    define       0.0169       0.0967
1417-192         5      none       0.0918       0.3261
1430-155         6      none      -0.0280       0.1320
1437-153         7      none       0.0117      -0.0496
1451-248         6      none       0.0361       0.0263
1452-168         9      none      -0.0073      -0.4682
1511-210         7      none       0.0078      -0.0431
1550-242        37      none      -0.0295       0.0734
1550-269        10      none       0.1897       0.0992
1556-245        38    define       0.3904      -0.0047
1601-222         9      none      -0.2713       0.0663
1710-269        10      none      -0.2210       0.1217
1820-274        10      none       0.3293       0.7883
1829-207        11      none       0.6982       0.8415
1946-200         8      none       0.0097      -0.1585
2002-185         7      none      -0.1160       0.1591
2126-185         8      none       0.0478      -0.0827
2135-248         5      none       0.0179       0.1744
2145-176         6      none       0.0424       0.0817
2154-183         5      none       0.5574      -0.5740
2200-238         5      none      -0.0363      -0.1328
2229-172        11      none       0.1599      -0.0017
2232-211         6      none       0.0192      -0.1090
2233-173         6      none       0.0609       0.0441
2240-260         5      none       0.0903      -0.2655
2253-278         6      none       0.1360       0.0043
2254-204         5      none      -0.0000      -0.2562
2257-270         6      none       0.0797      -0.0180
2300-189         5      none       0.0430      -0.0682
2304-230         6      none      -0.2059      -0.1572
2313-182         5      none       0.0708      -0.2325
2335-181         8      none      -0.0581      -0.5340
2344-192         6      none       0.4567       1.0123
 NGC5675        11      none       0.0736       0.0893
  MRK180        14      none      -0.0801       0.0720
2142+110        67    define       0.0005      -0.0124
2145+082        53      none       0.0392      -0.3453
 NGC3894         9      none       0.1624       0.0412
0059-287         5      none      -0.6955      -0.0790
0104-275        13      none      -0.0684       0.1455
0113-283         9      none      -0.2161       0.1111
0118-272        21      none       0.1538       0.0753
0142-278        15      none       0.1353      -0.1197
0244-297         5      none       0.0569       0.2629
0251+785         5      none       0.0588      -0.0503
0346-279       417    define       0.0350      -0.0906
0346+800        23    define      -0.1138       0.0504
0359-294         5      none      -0.3903      -0.6035
0440-285         5      none      -0.1257       0.9555
0645+858         6      none       0.7209       0.0008
0742+792         4      none      -0.4394       0.0978
0740+828         6      none       0.3691      -0.0546
0802-276         5      none       0.0098      -0.0488
0858-279        12      none       0.1746      -1.6263
0913+786         5      none      -0.3024      -0.0280
0916+864         4      none      -1.9130       0.1419
0932-281         5      none       1.2021       0.8133
1003+830         6      none      -0.3651       0.1216
1035-281         6      none       0.1971       0.2358
1043-291         5      none       0.1890       0.1715
1100+798         5      none       0.4453       0.1307
1117-270        10      none       0.2285       0.2833
1143-287        12      none       0.1696      -0.0785
1256+802         6      none      -0.3607      -0.2354
1304+791         6      none      -0.8420       0.0516
1302-285         5      none       0.2043      -0.5508
1322+835         9      none       0.9497       0.0950
1323+799         7      none      -1.0226       0.0795
1339-287        19      none      -0.1363       0.1079
1359-281         5      none       0.0558      -0.1347
1406+787         5      none      -0.1490       0.0318
1405-287         5      none      -0.0830       0.2971
1510+835         6      none       1.6429       0.1220
1522+791         4      none      -1.7224      -0.0684
1519-294        68      none       0.0824       0.0579
 NGC6251       356      none       0.2337       0.0463
1826+796        12      none      -1.4124      -0.2111
1939+813         7      none       1.9125      -0.1772
2058-297        15      none      -0.0245      -0.2416
2136+824         9      none       0.5715       0.0059
2159+833         6      none      -2.6033       0.1509
2212-299         9      none       0.1433      -0.2049
2332-293         5      none       0.0307      -0.0610
2353+816        93    define      -0.2064      -0.0049
1919+086         5      none      -0.1013      -0.1677
2120+099         7      none      -0.6177       0.3839
2147+077         7      none      -0.0301      -0.2326
1849+670       533    define       0.0593       0.0561
1427+543        12      none       0.0198      -0.0216
1926+087        13      none       0.0500       0.0122
2149-306       173      none      -0.0399      -0.0372
0438-436        59      none       0.0257       0.0834
1806-458        66    define       0.0395      -0.0679
2227-399        21      none       0.1318       0.0268
1104+728        60      none       0.0254       0.0264
0331+022         6      none      -0.2072      -0.5603
1116+128        31      none      -0.0456       0.0447
1347+539        23      none       0.0221       0.0203
1743+173        94      none       0.0125       0.0642
1842+681       107      none       0.0680       0.0035
0302+625        79    define      -0.0741      -0.0201
0444+634        25      none       0.0668      -0.0567
1502+106       146    define      -0.0412       0.0724
2150+173        92      none       0.0106       0.0185
 3C454.3       127      none       0.1596       0.1395
1030+074       174      none      -0.0265      -0.0200
0831+557        16      none       0.0103      -0.0958
0912+297        31    define       0.0247      -0.0751
1307+121        87      none       0.0111      -0.0430
   CEN-A        13      none      -0.6628       0.2563
1705+456        17      none       0.0902       0.1071
1929+226       277    define      -0.0117       0.0172
2106-413        86      none      -0.0709      -0.0192
2254+024        37      none       0.0931      -0.0675
0335-364        21      none      -0.0779       0.0242
1416+067        12      none       0.0770      -0.1182
1910+052         6      none       0.0926      -0.3060
0805+046        40      none      -0.1677       0.1212
0952+581         6      none       0.0465       0.0298
2017+743        45    define       0.2273       0.0559
2235+731       104      none       0.3401      -0.0148
0458+138        36      none       0.0628      -0.1183
0833+585        23      none      -0.0061      -0.0196
1125+596         4      none       0.0412       0.0383
1936-623        14      none       0.0630      -0.0607
2005+642        10      none       0.3549      -0.1304
2355-534       165    define      -0.0906      -0.0688
0153+744        14      none       0.8571      -0.8398
1116-462        41    define      -0.3126      -0.2460
1026-084         4      none      -0.0651       0.1883
1932+106         4      none      -0.0270       0.3242
0127+084         9      none       0.0898      -0.1677
 NGC2484         7      none      -0.1654       0.3918
1254+571         5      none      -0.5042      -0.1865
2352+495        10      none       0.2087       0.0204
1239+606         9      none       1.2338      -0.1343
2128+048        11      none      -0.1676       0.8675
0836+290         5      none      -0.0207       0.1505
1058+726         4      none      -0.6881       0.0461
1101-325        20      none       0.1688      -0.0299
 NGC5141         5      none      -0.1211       0.1181
1535+004         9      none      -0.0682       0.0633
 NGC7720         6      none      -0.1194       0.0354
0201+088         5      none      -0.0295      -0.6045
 UG01841         9      none       0.0086       0.1269
 NGC6500         4      none       0.0083      -0.0936
0415+379        11      none       0.3286       0.3083
UGC02748         5      none      -0.1467       0.2051
0656+082      1236      none      -0.0303       0.0976
1437+331         5      none      -0.4808       0.2235
1815+531         5      none       0.2003      -0.1457
1822-173         6      none       0.0244      -0.1824
1829-106         4      none      -0.8867      -0.5396
2329-384       203      none       0.0481      -0.1143
0809-493         6      none      -0.2968       0.2397
1234-504         4      none      -1.3870       0.0586
2357-326         5      none      -0.0287       0.2631
0008-421        10      none       0.6574       1.7102
0017-307         5      none      -0.0152       0.2447
0022-423        10      none       0.0833      -0.2385
0024+092         5      none       0.1447       0.3319
0038-326        21    define       0.1075       0.0687
0048-427       241      none       0.0094      -0.0579
0056+579         5      none       0.0234       0.1174
0106+612         5      none      -0.0526      -0.0614
0132-389         6      none      -0.0549       0.0299
0140-322         5      none      -0.0489      -0.1245
0149-348         6      none       0.0847       0.3864
0203+625         8      none       0.3594      -0.0181
0214-330         5      none      -0.1124       0.1792
0225-306         6      none       0.0111      -0.0211
0227-369       128    define       0.0199      -0.0757
0229-398         6      none      -0.0316       0.9136
0254-334        12      none      -0.0902       0.3922
0318-388         6      none       0.0293       0.6040
0319-315         5      none       0.0764       0.4806
0348-326         5      none       0.2387       0.3198
0405-331         6      none       0.1829      -0.0589
0417-302         5      none       0.4050       0.0104
0439-337         5      none       0.1533       0.2183
0448-392        10      none       0.5803      -1.1609
0531-397         5      none       0.1494      -0.2446
0534-340       174    define       0.0797      -0.0292
0547+234        17      none       0.0704      -0.0505
0549+192         6      none      -0.0501      -0.0277
0602-424         6      none       0.4108       0.1940
0603-353         6      none       0.4712       0.9235
0610-436         7      none       0.0841      -0.2091
0622-441         6      none      -0.1884       1.2726
0642-349        22    define      -0.4204      -0.3521
0709-387        10      none       0.8021       0.4670
0721-071        10      none       0.0725       0.4451
0728-320         5      none      -0.0810      -0.1899
0740-383         7      none       0.8838       0.6403
0744-158         5      none      -0.0890      -0.3076
0745-330         5      none       0.3071      -0.7364
0759-334         6      none      -0.0926       0.1532
0804-351         6      none      -0.2203       0.6359
0842-375        10      none       0.0859       0.3606
0847-354         8      none       0.1937      -0.7415
0848-304         7      none      -0.1653      -0.2379
0857-329         6      none      -0.6383      -0.0617
0918-363        10      none       0.0177       0.9734
0926-306         5      none       0.2158       0.7128
0927-378         6      none      -0.1154       0.5532
0945-321         5      none       0.3665       1.3903
1012-448        20      none       0.6467       0.5525
1015-314         7      none      -2.8326       1.0183
1016-311        40    define      -0.2633       0.0293
1019+309         5      none       0.0704       0.0637
1106+380         6      none       0.3020       0.2298
1151-324         5      none       0.0579      -0.3251
1151-348         7      none      -0.0220       0.1473
1152-308         6      none       0.0710      -0.0117
1207-319         5      none      -0.0611       0.0275
1236-381         6      none       0.3423       0.8922
1257-326         6      none       0.2383      -0.0087
1321-323         6      none       0.0250       0.2884
1327-311         5      none       0.1385      -0.0407
1343-300         5      none       0.0227       0.1498
1353-341         5      none      -0.1227      -0.0433
1412-368        54    define       0.1269       0.1019
1450-338         6      none      -0.2015       0.0624
1456-367         6      none       0.0857      -0.1527
1458-391         6      none      -0.0602       1.0424
1505+044         5      none      -0.0336       0.1216
1509+054         5      none      -0.1096       0.4826
1606-398        52    define       0.1495       0.2705
1656-075       235      none      -0.0130       0.0105
1742-078         8      none      -0.0668      -0.2572
1748-253         7      none       0.2675      -0.0504
1754+155       257    define       0.0340      -0.0077
1759-396      1137    define      -0.1299      -0.0089
1822-076         6      none       0.0145      -0.1774
1928+154        45      none       0.0690      -0.1560
1947+079         9      none       0.5007      -0.3645
1953-325        10      none      -0.0689      -0.1560
2002-375        98    define      -0.1348      -0.1284
2004-447         7      none       0.0474      -0.1147
2013+370         5      none       0.2294       0.1462
2058-425         8      none       0.4998       1.0483
2135+508         5      none       0.0307      -0.0590
2300-307         4      none       0.3765      -0.2527
2311-452         8      none       1.2789       0.4064
2314-340        21      none      -0.1084      -0.2069
2321-375        24      none       0.0141       0.0636
2337-334         5      none       0.2652      -0.3881
1148-671        11      none       0.2213      -0.3590
1345+125        10      none       0.3406      -1.3911
0002+200         5      none       0.0661      -0.2559
0005+114         5      none      -0.0434      -0.1603
0006+061         5      none       0.0590      -0.1093
0021+243         9      none      -0.1121      -0.3525
0023-263         5      none       0.3021       0.4187
0028-396         6      none      -0.3881       0.5698
0033+142         5      none      -0.0720       0.0759
0132-097         5      none     -26.9319     -38.1078
0142-398         5      none       0.1780      -0.4968
0153-410        12      none       0.1885      -0.8311
0205-391         6      none       0.0694       1.0515
0205+643         5      none      -0.1009       0.0932
0205+722         5      none       0.1358       0.0337
0248+560         4      none      -0.2205       0.1168
0314+565         5      none      -0.0243       0.1743
0342+538         7      none       0.1271      -0.0533
0346+514         5      none       0.3050      -0.1571
0354+559         4      none      -0.0877      -0.0815
0404+075         5      none      -0.0761       0.1474
0403+768         6      none       0.4160      -0.1165
0437-303         5      none       0.2116       0.6434
0447+408         5      none      -0.0370      -0.0507
0459+387         5      none      -0.1478       0.0467
0459+415         5      none      -0.1211       0.0281
0500+443         5      none       0.0754      -0.0605
0509+406         5      none       0.0521      -0.0695
0526+373         5      none      -0.0064       0.0416
0531+194         9      none       1.6329      -0.1199
0601+245        31      none       0.2858       0.0829
0610+171         6      none       0.0320       0.0230
0622+147         5      none      -1.4182       2.4640
0639-032        27      none       0.0540      -0.0740
0705-142         5      none      -0.1402       0.1031
0746-167         5      none      -0.0092      -0.1634
0800+618       656    define      -0.0991      -0.0169
0838+133         7      none       0.0900       0.0652
0922-202         5      none      -0.0413      -0.2805
0933-333         5      none       0.2147       0.3127
1149+499         5      none       0.1313      -0.1106
1200+483         5      none      -0.1442       0.0927
1306+360       203      none      -0.0171       0.0600
1355+441         5      none       0.3897      -0.1393
1358+624         5      none       0.4365      -0.7495
1402+660         5      none      -0.0654       0.0028
1437+624         5      none       0.4206      -0.1563
1441+252       195      none       0.0065       0.0648
1853+027         6      none      -0.2807      -0.1992
1950+253         5      none      -0.0457       0.0601
1954+282         8      none      -0.0626       0.0835
2001+304         5      none       0.1162      -0.0060
2005+372         8      none       0.1168       0.0438
2127+085         5      none      -0.0233      -0.0754
2146+608         5      none      -0.0762       0.0066
2222+600         6      none      -1.0383       0.3706
2254-367         4      none       0.1044       0.2508
2256-296         5      none       0.1324       0.0845
2258+166         6      none       0.0113      -0.1423
2308+341         5      none      -0.0172      -0.0016
2336+598        23    define       0.0223       0.0220
2357-318       250      none       0.0149       0.0028
1204+124         5      none      -0.1566      -0.2940
1725+123       153      none       0.0548      -0.0404
0206-048         5      none       0.0299      -0.3434
0207-078         6      none      -0.0012       0.4036
0210-075         5      none       0.1132       0.1059
0212-039         5      none       0.0340      -0.0173
0420+210         6      none      -0.0527      -0.1397
0516-621       128      none       0.0471      -0.0603
1600-445        22    define       0.3314       0.2428
1718-649         9      none       0.0912       0.0098
2353-686        83    define       0.3208      -0.2580
0213-015         5      none       0.0293       0.1972
0213-013         5      none      -0.0843      -0.0068
0215-015         5      none      -0.0868      -0.0122
0032+612         5      none      -0.1882      -0.0653
0159-062         6      none       0.0074      -0.0408
0220-023         5      none      -0.0661      -0.1145
1109-567        10      none      -0.9501       0.3036
1325-558        41    define      -0.0157      -0.0003
1600-489         6      none       0.2759       0.1674
1657-562        51      none       0.1257      -0.1443
1511-476        28    define      -0.0439       0.2946
2244-372       103    define       0.0280      -0.0267
0506-612       110    define       0.1830      -0.0499
1004-500       105    define       0.1686       0.0569
1129-580        13      none       0.4509       0.1038
1352-632         5      none       1.5069       0.0658
0454-463       184      none       0.0842      -0.0658
  IIIZW2       108    define       0.0340      -0.0867
1031+567        10      none       3.0017       1.1283
0334+014         5      none       0.1816       0.3549
 NGC4261         5      none      -0.0707      -0.0239
1843+400         5      none       0.0623      -0.0076
1814-637         6      none      -0.0225      -0.2594
0026-015         8      none       0.1005       0.2332
0027-024         5      none       0.0387       0.0507
0029-147         5      none       0.1505      -0.2896
0042+186         5      none      -0.1236       0.1429
0043+246         5      none       0.0079      -0.1335
0046+063         7      none       0.4193       0.4242
0055+060         6      none      -0.0066       0.1611
0113-310         6      none       0.0865      -0.1845
0119+296         5      none       0.0168       0.0199
0123-226         5      none       0.0242      -0.1380
0140+120         7      none       0.1407       0.3082
0150+000         5      none       0.0241       0.1337
0153+389         5      none       0.1083       0.1406
0202-337         6      none      -0.2416      -0.3208
0202+240         5      none       0.1059      -0.0369
0159+870         5      none      -1.8526      -0.1368
0214+083         7      none       0.1145      -0.1610
0221-171         6      none       0.0398      -0.1492
0234-301        79    define       0.0076      -0.0375
0255+288         5      none      -0.1198      -0.0536
0259-316         5      none       0.0485       0.5086
0437+145         5      none       0.0236       0.0607
0450+013         5      none       0.0289      -0.0297
0513+276         5      none      -0.0259      -0.1860
0518+600         5      none      -0.1448       0.0834
0534-201         6      none       0.0450      -0.0215
0616+076         5      none      -0.0769       0.0704
0647-018         5      none      -0.0611       0.0024
0656-062         6      none       0.8448      -0.5335
0700-101         5      none       0.1502       0.3103
0658+548         5      none      -0.2228      -0.3387
0710+196         6      none      -0.0984      -0.0387
0716+332         5      none       0.2072      -0.2044
0723-189         8      none      -0.0307      -0.0192
0726-132         6      none       0.0205      -0.1976
0729-222         5      none       0.4416      -0.3587
0738-246         5      none       0.1728      -0.2951
0745-291         5      none       0.1726       0.1295
0759-283         5      none       0.0866       0.1417
0804+140         5      none       0.0437      -0.2709
0814-241         5      none      -0.0377       0.0761
0816+054         5      none       0.0183      -0.1643
0849+287         5      none      -0.1473       0.0175
0909+222         5      none      -0.1733       0.1226
0916+718         5      none      -0.4491       0.0446
0926-039        17    define      -0.0110      -0.3016
0930-338         5      none       0.1314       0.5792
0938+277         5      none      -0.0714       0.0980
1005-333         7      none      -0.1572       0.2982
1010-255         6      none       0.0976       0.1413
1030-357         5      none      -0.2051      -0.5355
1048+207         5      none      -0.0529      -0.1238
1055-301         8      none       0.0103      -0.2178
1100+122        64      none       0.0210       0.1425
1124-382         6      none      -0.4575      -0.2826
1125+062         7      none       0.0977      -0.0533
1215+113         6      none       0.0360       0.1695
1217+713         4      none      -0.2031      -0.0144
1224-443         5      none      -0.1394       0.2661
1240-294         5      none      -0.0069       0.1994
1246+285         5      none       0.0019      -0.0288
1250-330         5      none      -0.1249       0.1326
1252-441         5      none       0.4355       0.2180
1258+287         4      none       0.0138       0.1001
1305+042         5      none      -0.1178       0.1916
1312+289         5      none       0.1667       0.0215
1329+063         4      none       0.1219       0.2340
1332+031         5      none       0.0763       0.1048
1348+237         5      none      -0.1381      -0.1314
1348+087         5      none       0.0487       0.0052
1348-289         5      none      -0.0295       0.0383
1358-298         5      none      -0.0550       0.0953
1403+411         5      none       0.0299      -0.0058
1424-328         5      none       0.0995      -0.4585
1438-347         5      none       0.1647      -0.1584
1453+217         5      none       0.0455       0.0190
1505-304         6      none       0.1295       0.3332
1506+163         5      none      -0.0971       0.1670
1530+239         5      none      -0.0230      -0.0900
1533-316         6      none       0.0020      -0.1857
1536+046         6      none      -0.0882       0.3144
1557+565         5      none       0.2878      -0.0657
1621+058         5      none       0.0915       0.1130
1632+321         5      none      -0.1701       0.1487
1639-062       847    define       0.0112      -0.0199
1716+070         6      none       0.0660       0.2124
1721+589         4      none       0.1627      -0.0259
1722+611         5      none       0.1976      -0.0862
1728+004         6      none      -0.0332       0.1605
1749+293         5      none       0.1513      -0.0259
1755+055         5      none      -0.2041       0.7580
1802-046         5      none       1.0406       0.0172
1815-111         7      none       3.5486       2.4133
1830+012         5      none      -0.0200       0.0646
1836+094         5      none       0.0157       0.1180
1841+447         5      none       0.2047       0.0305
1904+013         4      none       0.0553      -0.0618
1908-211         9      none      -0.0817      -0.8753
1922-341         5      none       0.1506       0.2811
1937+381         5      none      -0.0080      -0.0333
1949+014         5      none      -0.0464       0.0696
2021-330         7      none       0.1861       0.0213
2050+226         5      none      -0.0072       0.0233
2053-323         5      none       0.0386      -0.1915
2100+468         4      none      -0.1742      -0.1038
2118-372         5      none      -0.2243       0.0689
2121+547        21    define      -0.0713      -0.0983
2123+244         6      none      -0.1551      -0.2562
2138-377        12      none       0.2800      -0.0715
2141+175       383      none       0.0155      -0.0309
2144-362         5      none      -0.1225      -0.9762
2158-167        10      none      -0.1060      -0.3098
2227+009         5      none       0.0667      -0.1935
2246-309         5      none       0.2130      -0.0984
2256+570         5      none       0.3716      -0.0076
2306+095         5      none       0.0259      -0.1282
2306-312        18      none       0.0259      -0.0533
2319+317       585    define       0.0082      -0.0405
2320+689         5      none       0.1809       0.0059
2351-309        18      none       0.1624      -0.0544
0151+081         6      none      -0.0265       0.1614
0216+478         5      none       0.1010       0.0405
0234+469         6      none       0.3494       0.1447
0248-266         5      none      -0.0015       0.1098
0436+052         5      none      -0.0128      -0.1956
0446+178         6      none      -0.0003      -0.0385
0456+714         5      none       0.3385      -0.1746
0516+087         5      none      -0.0183      -0.1566
0610-316         5      none       0.1773      -0.0597
0631-223         5      none      -0.3557       0.0198
0640+090         7      none      -0.2913       0.1180
0644-390         6      none       0.4387      -0.1478
0653-033         5      none      -0.1451       0.2777
0700-007        10      none       0.0711      -0.1612
0713-092         5      none       0.0460      -0.8962
0723+219       190      none      -0.0484       0.0170
0726-224         5      none       0.4424      -0.6808
0728-235         7      none      -0.3312      -0.2617
0729+019         5      none      -0.0266       0.0305
0736-397        10      none       1.8192      -6.5018
0739-266         5      none       0.0982      -0.2242
0752-116         5      none       0.0054      -0.0150
0804-290         5      none      -0.1959       0.3362
0812+100         5      none      -0.0083      -0.0281
0813+557         5      none       0.0928       0.1233
0845-051         5      none       0.0329      -0.0084
0847-120       311    define       0.0255      -0.0279
0906+430         5      none       0.1568       0.0463
0923+575         5      none       0.1589      -0.0633
0932+367         5      none       0.2440      -0.0981
0947+064         5      none       0.0198      -0.1420
0958-314         5      none       0.1956       0.0951
1009+234         5      none       0.0285       0.1420
1021-323         5      none       0.0445      -0.7776
1036-431        12      none      -0.8956      -0.4210
1055-028         5      none      -0.0735      -0.0208
1103+023         8      none      -0.0994       0.1077
1110-355         5      none      -0.4254       0.9165
1128+090         5      none       0.1528      -0.0227
1205-008         7      none      -0.0341      -0.1678
1247+022         5      none      -0.2061      -0.0682
1248-350         5      none      -0.0031      -0.0421
1251-407         5      none       0.2915       0.2142
1309+257         5      none       0.1965       0.1749
1314-202         5      none       0.2484      -1.1369
1320-338         6      none       0.1991      -0.2929
1330+071         5      none       0.1136      -0.0277
1345+061         5      none      -0.0152       0.0317
1407+022         5      none      -0.0275       0.1458
1415-349         5      none       0.0371      -0.3884
1417+375         5      none       0.3104       0.1389
1422-249         5      none      -0.0902      -0.1831
1428+370        45    define      -0.0856       0.0387
1438-328         5      none       0.0464       0.1593
1454-354        13      none       0.0433      -0.0985
1521-300         5      none      -0.3763       0.5669
1533+200         5      none      -0.1430      -0.2548
1548+114         5      none       0.0979      -0.2456
1603+573         4      none      -0.0946       0.1501
1620+145         5      none      -0.0472      -0.0441
1657+054         5      none      -0.0202      -0.0537
1720+102         5      none       0.0875       0.0864
1727+386         5      none       0.0026       0.0056
1752-225         7      none       0.0736      -0.1069
1758+046         5      none       0.0375       0.0026
1804-251         6      none       0.2119      -0.3054
1809+170         5      none       0.0775       0.0514
1817+387         5      none       0.0782       0.0067
1822+012         6      none      -0.0304       0.0131
1831-030         6      none      -0.0526      -0.2790
1843-069         5      none       0.3502      -0.1078
1923+123         5      none       0.0032       0.1226
1935+360         5      none      -0.0089      -0.0078
1941+413         5      none      -0.0111      -0.0093
2027-308         6      none       0.0955       0.5337
2058+260         5      none      -0.2196       0.2515
2059-334         5      none      -0.0152      -0.7263
2118+053         5      none       0.0339       0.1804
2130-425         5      none      -0.2010      -0.4089
2135+347         5      none       0.0941      -0.2675
2141-334         6      none       0.1514      -0.0770
2151+431         5      none      -0.0008       0.0232
2157+102         5      none      -0.0676      -0.2054
2203-215         5      none       0.1678      -0.0585
2214-192         5      none      -0.0710      -0.3469
2221+625         5      none       0.2910       0.1265
2245+471         5      none      -0.0706      -0.1197
2251+134         5      none       0.0896      -0.0476
2300+638         4      none       0.0849       0.0201
2338+330         5      none       0.2828      -0.0875
0009+655         5      none       3.8995      -0.1724
0021-084         7      none       0.0165       0.2282
0108-170         6      none      -0.0937       0.6414
0206-270         5      none      -0.0589      -0.0094
0257-057         5      none      -0.0145      -0.2302
0307-085         5      none      -0.3469      -0.2893
0319-056         5      none      -0.0060      -0.2998
0345+416         5      none       0.1370      -0.0903
0411-063         5      none      -0.1743      -0.0454
0616-116         5      none      -0.0980      -0.1566
0620-011         5      none      -0.2112      -0.0876
0628-133         5      none      -0.0770      -0.1848
0653-242         5      none       0.1380      -0.0544
0823-321         5      none      -0.0201      -0.2285
0839-314         5      none       0.0288       0.2641
0908-052         6      none       0.1181      -0.1145
0916-074         5      none      -0.0453       0.0054
0936-172         6      none       0.0111       0.0017
0944-201         5      none       0.0641       0.1792
1102-392         6      none      -0.0972       0.8325
1320-385         5      none       0.2415      -0.4661
1344-375         5      none       0.0098      -0.2645
1433-040         5      none       0.0171       0.1662
1535-036         5      none       0.0446       0.0712
1548-177         7      none       0.0778      -0.4161
1558-072         5      none       0.0601      -0.2414
1600-099         5      none       0.0763      -0.1151
1614-195         7      none      -0.0076      -0.2428
1634-330         6      none      -0.6153       3.7340
1641-179         6      none       0.1865      -0.3975
1701-132         6      none       0.0241       0.0878
1715-112         6      none       0.0552      -0.0353
1718-084         5      none       0.2088      -0.2122
